2025/04/03 00:31:18 ======= BẮT ĐẦU XỬ LÝ DỮ LIỆU TIỀN ĐIỆN TỬ =======
2025/04/03 00:31:18 Đã tải cấu hình từ file: ./configs/config-binance.json
2025/04/03 00:31:18 WebSocket URL: wss://stream.binance.com:9443/stream
2025/04/03 00:31:18 Số lượng token cần theo dõi: 3
2025/04/03 00:31:18 Token #1: BTCUSDT (Giao dịch lớn: 0.100000, Giao dịch rất lớn: 0.100000)
2025/04/03 00:31:18 Token #2: ETHUSDT (Giao dịch lớn: 0.005000, Giao dịch rất lớn: 0.500000)
2025/04/03 00:31:18 Token #3: SOLUSDT (Giao dịch lớn: 0.001000, Giao dịch rất lớn: 0.100000)
2025/04/03 00:31:18 Bắt đầu theo dõi kline cho BTCUSDT tại wss://stream.binance.com:9443/ws/btcusdt@kline_1m
2025/04/03 00:31:18 Bắt đầu theo dõi giao dịch cho BTCUSDT tại wss://stream.binance.com:9443/ws/btcusdt@trade
2025/04/03 00:31:18 Bắt đầu theo dõi kline cho ETHUSDT tại wss://stream.binance.com:9443/ws/ethusdt@kline_1m
2025/04/03 00:31:18 Bắt đầu theo dõi kline cho SOLUSDT tại wss://stream.binance.com:9443/ws/solusdt@kline_1m
2025/04/03 00:31:18 Bắt đầu theo dõi giao dịch cho ETHUSDT tại wss://stream.binance.com:9443/ws/ethusdt@trade
2025/04/03 00:31:18 Bắt đầu theo dõi giao dịch cho SOLUSDT tại wss://stream.binance.com:9443/ws/solusdt@trade
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket kline cho ETHUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket cho BTCUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket cho ETHUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket kline cho SOLUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket cho SOLUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket kline cho BTCUSDT
2025/04/03 00:31:19 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 7.04900000 | Giá: 129.93 USDT | Tổng: 915.88 USDT
2025/04/03 00:31:19 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.03000000 | Giá: 1894.34 USDT | Tổng: 56.83 USDT
2025/04/03 00:31:19 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.02500000 | Giá: 1894.35 USDT | Tổng: 47.36 USDT
2025/04/03 00:31:19 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.02800000 | Giá: 1894.35 USDT | Tổng: 53.04 USDT
2025/04/03 00:31:19 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 3.24900000 | Giá: 129.93 USDT | Tổng: 422.14 USDT
2025/04/03 00:31:19 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 0.78800000 | Giá: 129.93 USDT | Tổng: 102.38 USDT
2025/04/03 00:31:19 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 8.43400000 | Giá: 129.93 USDT | Tổng: 1095.83 USDT
2025/04/03 00:31:19 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 3.75500000 | Giá: 129.92 USDT | Tổng: 487.85 USDT
2025/04/03 00:31:19 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 5.26300000 | Giá: 129.92 USDT | Tổng: 683.77 USDT
2025/04/03 00:31:19 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 7.37100000 | Giá: 129.92 USDT | Tổng: 957.64 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 5.12600000 | Giá: 129.93 USDT | Tổng: 666.02 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 13.35100000 | Giá: 129.93 USDT | Tổng: 1734.70 USDT
2025/04/03 00:31:20 [BIẾN ĐỘNG GIÁ] BTC GIẢM 0.08% trong 1 phút (86810.60 -> 86740.25 USDT)
2025/04/03 00:31:20 [BIẾN ĐỘNG GIÁ] ETH GIẢM 0.22% trong 1 phút (1898.49 -> 1894.35 USDT)
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] ETH | BÁN | Số lượng: 6.97000000 | Giá: 1894.34 USDT | Tổng: 13203.55 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.01900000 | Giá: 1894.34 USDT | Tổng: 35.99 USDT
