[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.10130000 | Giá: 1894.21 USDT | Tổng: 191.88 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00420000 | Giá: 1894.19 USDT | Tổng: 7.96 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01310000 | Giá: 1894.18 USDT | Tổng: 24.81 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01200000 | Giá: 1894.17 USDT | Tổng: 22.73 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1894.17 USDT | Tổng: 5.30 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.02870000 | Giá: 1894.16 USDT | Tổng: 54.36 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.08000000 | Giá: 1894.16 USDT | Tổng: 151.53 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01200000 | Giá: 1894.15 USDT | Tổng: 22.73 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1894.14 USDT | Tổng: 5.30 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.18220000 | Giá: 1894.13 USDT | Tổng: 345.11 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.07650000 | Giá: 1894.13 USDT | Tổng: 144.90 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1894.13 USDT | Tổng: 5.30 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 3.12070000 | Giá: 1894.13 USDT | Tổng: 5911.01 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 1.60000000 | Giá: 1894.13 USDT | Tổng: 3030.61 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.02920000 | Giá: 1894.13 USDT | Tổng: 55.31 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.13 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00520000 | Giá: 1894.13 USDT | Tổng: 9.85 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 2.68660000 | Giá: 1894.13 USDT | Tổng: 5088.77 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.65200000 | Giá: 1894.13 USDT | Tổng: 1234.97 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00530000 | Giá: 1894.13 USDT | Tổng: 10.04 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.13 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 6.75000000 | Giá: 1894.13 USDT | Tổng: 12785.38 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1894.12 USDT | Tổng: 5.30 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00550000 | Giá: 1894.12 USDT | Tổng: 10.42 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00550000 | Giá: 1894.12 USDT | Tổng: 10.42 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01300000 | Giá: 1894.11 USDT | Tổng: 24.62 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00230000 | Giá: 1894.11 USDT | Tổng: 4.36 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00340000 | Giá: 1894.11 USDT | Tổng: 6.44 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00580000 | Giá: 1894.11 USDT | Tổng: 10.99 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00150000 | Giá: 1894.11 USDT | Tổng: 2.84 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01300000 | Giá: 1894.11 USDT | Tổng: 24.62 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00010000 | Giá: 1894.11 USDT | Tổng: 0.19 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01250000 | Giá: 1894.11 USDT | Tổng: 23.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00040000 | Giá: 1894.11 USDT | Tổng: 0.76 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01300000 | Giá: 1894.11 USDT | Tổng: 24.62 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01300000 | Giá: 1894.11 USDT | Tổng: 24.62 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01300000 | Giá: 1894.11 USDT | Tổng: 24.62 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.28200000 | Giá: 1894.12 USDT | Tổng: 534.14 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.02640000 | Giá: 1894.11 USDT | Tổng: 50.00 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.02460000 | Giá: 1894.11 USDT | Tổng: 46.60 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00420000 | Giá: 1894.11 USDT | Tổng: 7.96 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01670000 | Giá: 1894.11 USDT | Tổng: 31.63 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.05920000 | Giá: 1894.11 USDT | Tổng: 112.13 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.54810000 | Giá: 1894.11 USDT | Tổng: 1038.16 USDT
